sample_id,prediction,label
2,1,1
12,1,1
28,1,1
29,1,1
35,1,1
38,1,1
51,1,1
65,4,4
74,4,4
83,4,4
85,4,4
86,4,4
95,4,4
107,3,4
112,3,3
115,3,3
117,3,3
120,3,3
125,3,3
127,3,3
129,3,3
131,3,3
133,3,3
140,3,3
142,3,3
147,3,3
152,3,3
154,0,0
159,0,0
167,0,0
170,0,0
172,0,0
176,0,0
183,0,0
184,0,0
196,0,0
197,0,0
198,0,0
202,2,2
204,2,2
211,2,2
219,2,2
220,1,2
228,3,2
229,2,2
231,2,2
233,2,2
239,2,2
245,2,2
246,2,2
249,2,2
254,1,1
256,1,1
261,1,1
266,4,4
267,4,4
279,3,3
284,3,3
286,3,3
291,3,3
292,3,3
297,0,0
311,2,2
